position,pace,shooting,passing,dribbling,defending,physical,gkDiving,gkHandling,gkKicking,gkReflexes,gkPositioning,ovr
RB,87.22,51.92,57.38,55.1,76.91,62.32,8.99,23.1,11.85,8.38,14.96,81.11
CM,60.71,50.79,84.58,60.67,34.84,86.48,16.49,12.13,11.7,15.17,11.25,83.58
CM,74.99,68.0,96.51,72.06,59.52,53.11,10.5,11.1,8.23,12.94,7.47,83.07
LB,73.57,57.23,59.62,57.67,68.98,66.64,14.66,13.12,13.09,14.16,13.45,79.46
CB,42.69,35.99,47.85,41.9,72.13,69.23,12.57,15.31,9.99,11.31,15.53,73.83
GK,35.5,28.1,36.44,40.06,52.01,53.07,81.34,51.87,39.4,61.36,80.79,75.37
CB,52.14,36.38,55.58,65.76,71.57,51.56,6.14,16.55,9.38,14.3,11.71,81.25
CDM,72.01,52.11,61.96,69.54,69.95,51.85,1.0,22.13,7.13,12.1,15.86,77.45
CDM,62.74,48.94,65.85,68.97,84.33,63.14,10.39,7.16,11.54,4.58,8.71,80.96
RB,89.73,59.77,87.35,77.82,62.3,61.59,10.65,15.02,10.67,11.71,14.28,85.77
CDM,72.68,57.4,62.46,79.53,72.75,70.2,15.78,6.75,7.14,12.68,14.88,82.23
GK,36.47,12.88,55.6,36.59,59.86,81.41,79.77,73.1,58.65,76.57,75.04,83.65
CB,48.86,27.58,42.78,41.22,72.66,72.41,8.99,9.12,5.76,7.95,19.0,77.28
CB,47.55,36.65,47.43,57.72,82.67,75.66,8.4,13.62,14.88,23.31,20.54,78.43
CAM,71.78,84.92,89.9,84.86,38.6,59.33,15.23,5.78,11.54,13.78,6.2,89.8
LW,80.13,65.85,68.49,84.66,40.78,71.42,12.84,11.69,5.58,12.91,10.2,87.34
LB,77.1,33.98,78.81,47.66,71.49,53.35,12.58,10.23,17.31,9.32,10.53,78.86
CAM,57.39,68.31,69.55,86.18,40.28,66.35,9.19,16.47,12.41,13.06,11.57,80.99
RB,68.88,50.2,84.59,56.97,78.12,54.75,9.15,10.87,3.83,13.94,13.09,79.32
LB,68.81,50.58,50.86,42.95,68.17,69.71,15.62,10.45,15.27,9.25,10.52,77.53
CB,68.65,22.51,60.93,46.15,76.51,73.99,10.2,12.23,10.17,15.7,9.59,81.53
CAM,85.96,85.22,70.6,84.39,37.19,49.91,1.11,14.89,15.62,12.22,11.05,81.15
LB,69.9,39.04,45.04,56.99,67.04,79.51,16.0,9.25,10.0,10.2,8.95,80.57
CB,78.62,30.33,46.9,32.68,81.25,68.16,5.04,11.17,14.98,9.76,16.15,80.38
ST,67.65,79.29,56.64,72.01,31.43,79.95,10.29,11.05,9.21,9.29,15.18,82.55
CB,58.47,50.49,47.09,24.28,89.6,76.1,8.41,10.22,18.5,12.73,10.84,83.25
RW,81.74,58.41,70.73,78.81,40.55,52.77,10.24,13.41,13.8,15.92,14.92,84.17
GK,34.86,18.96,52.7,39.32,37.66,53.04,68.63,61.48,77.24,64.07,89.56,78.95
ST,72.24,72.23,44.71,63.12,25.16,83.21,14.47,11.89,10.64,16.94,14.7,79.6
GK,37.21,10.77,58.78,37.59,39.07,65.11,81.06,57.64,84.63,77.29,92.0,83.63
RB,61.31,59.07,56.07,53.31,56.06,46.03,16.1,5.74,12.51,14.72,6.67,72.89
GK,49.59,22.31,54.62,18.75,41.09,56.37,61.48,58.38,55.85,63.83,61.89,76.21
ST,53.85,92.91,50.76,63.59,11.76,68.48,7.46,11.38,13.49,15.54,12.4,79.79
ST,87.73,96.45,53.5,63.76,24.77,70.72,8.75,13.84,9.84,10.99,4.71,85.01
RB,89.62,31.19,50.57,72.12,53.46,88.42,10.59,17.39,15.84,16.73,13.19,80.18
CM,65.47,55.62,59.16,60.01,62.58,56.11,19.37,9.41,20.56,11.81,10.67,76.32
LW,76.69,60.09,58.38,87.59,40.69,72.4,15.06,9.03,9.9,9.9,14.92,84.73
RW,80.4,66.75,76.9,92.79,34.31,56.88,13.87,11.62,13.36,14.41,13.67,84.41
ST,76.2,82.02,62.14,66.3,34.63,73.79,5.22,14.93,11.34,15.0,12.68,85.1
CDM,58.23,64.69,70.85,63.62,83.15,59.19,13.1,14.73,8.46,19.96,16.74,83.23
LW,80.0,56.3,72.11,74.58,42.82,56.31,9.02,11.75,16.17,10.22,8.18,80.49
RW,86.96,48.31,69.12,71.8,44.09,63.04,16.77,11.68,11.49,11.51,16.89,80.96
GK,49.31,34.52,60.46,40.94,33.22,57.58,76.0,68.77,68.16,88.75,50.25,79.61
